epoch,step,train_loss,train_logits_loss,train_foreign_loss,train_home_loss,train_acc,val_loss,val_logits_loss,val_foreign_loss,val_home_loss,val_acc,sav_version
0,633,0.026724940983911073,0.003341696650307702,0.026724940983911073,0.022952937562236382,0.5379334590767586,0.011948956218971447,2.119593732284777,0.011948956218971447,0.011761128069889364,0.5108807634535005,1
1,1266,0.008056984220500477,0.0039204281841597475,0.008056984220500477,0.007939400875979172,0.4927425279946098,0.0075789087762435274,2.217841610764012,0.0075789087762435274,0.0074178076236311235,0.48506318573667706,2
2,1899,0.005249096938787031,0.00385689584753148,0.005249096938787031,0.005226943610636238,0.4777548482366885,0.005698384660663027,2.28521259986993,0.005698384660663027,0.0056428549049252815,0.4744816157262278,3
3,2532,0.0038372281490785393,0.0037171128801824923,0.0038372281490785393,0.003832495481137769,0.4596949850734133,0.004430218627958587,2.377922838384455,0.004430218627958587,0.0043729591874800845,0.4581925124085684,4
4,3165,0.002990018055916986,0.004031499603536645,0.002990018055916986,0.0029716353953961653,0.4429050070857728,0.003600448447590073,2.485115159641613,0.003600448447590073,0.003537358208136125,0.44562924503657264,5
5,3798,0.002417062656581696,0.004018236675533638,0.002417062656581696,0.0024000089571444908,0.4270240190270415,0.0028637793959315977,2.5373300422321665,0.0028637793959315977,0.0027890733379701323,0.43177450692267505,6
6,4431,0.002005796038507415,0.0043054365245463536,0.002005796038507415,0.002001621556655161,0.41586392702815744,0.002290029089305211,2.641496766697277,0.002290029089305211,0.0022534969171057596,0.4145698635057471,7
7,5064,0.0017020286117514116,0.004240399853313139,0.0017020286117514116,0.0017062959218571347,0.4070691835679771,0.001968662815422497,2.7340308969671074,0.001968662815422497,0.0019447616809471087,0.40338582484326024,8
8,5697,0.00147450363252821,0.004035414112687676,0.00147450363252821,0.0014772214752064331,0.4008709837608029,0.001897861083941252,2.8137838334748237,0.001897861083941252,0.0018953912129456346,0.3951990269070009,9
9,6330,0.0012849582909822677,0.004541701426814895,0.0012849582909822677,0.0012869033204777076,0.39657374576015236,0.0016952744141841929,2.901862079446966,0.0016952744141841929,0.0016853909473866224,0.3909801136363637,10
10,6963,0.0011361540457208775,0.0046743167708458684,0.0011361540457208775,0.0011382136152031732,0.39279614319068845,0.001665039122048201,2.9576436028336035,0.001665039122048201,0.0016503589806344473,0.3881261428944619,11
11,7596,0.0010093335984760268,0.0047169933198564235,0.0010093335984760268,0.0010170289345628524,0.38997381313307355,0.0014046466835266488,3.0282845135891074,0.0014046466835266488,0.0014007961074116104,0.38355619775339606,12
12,8229,0.0009073657722074073,0.00470711796957923,0.0009073657722074073,0.0009147882957002634,0.38786920796162044,0.0012084339043323064,3.071784344586459,0.0012084339043323064,0.0012231070925763836,0.38083121081504695,13
13,8862,0.0008236516444442873,0.004922124446850818,0.0008236516444442873,0.0008319327377862817,0.3859180431651331,0.001156127662397921,3.072887998638731,0.001156127662397921,0.0011448635187028258,0.3799932242685476,14
14,9495,0.0007533758351252683,0.004933990008458142,0.0007533758351252683,0.0007611460004246089,0.3845492766123036,0.0012194496706466782,3.105059183005131,0.0012194496706466782,0.0012031753995512245,0.37922381138975964,14
15,10128,0.0007212038770226812,0.005256815920885517,0.0007212038770226812,0.0007249431071823572,0.38295058544744937,0.0012682090746238828,3.1259587172305947,0.0012682090746238828,0.001268659825930654,0.3768718978578893,14
16,10761,0.0006440019329820758,0.005027964970135199,0.0006440019329820758,0.0006421759799928338,0.38234107105519927,0.0013632423731244423,3.1297045693253027,0.0013632423731244423,0.001377589005807584,0.3754738930250785,14
17,11394,0.000606208239309784,0.005019317117724185,0.000606208239309784,0.0006064248154411389,0.381634054688226,0.0010158398301538193,3.171574831008911,0.0010158398301538193,0.0010155168428988845,0.3762620820271682,15
18,12027,0.0005606989731929761,0.00507320800287087,0.0005606989731929761,0.0005607351099893503,0.38078238256202945,0.0011402973993399153,3.1695629322167598,0.0011402973993399153,0.001117002116657342,0.3752583757836991,15
