Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,CBS,avg
f,0.5711711967403403,3.25,0.26208775098471837,0.22057807295853946,0.2557900146194411,0.22931720788179424,0.46030963079599657,1.1428571428571428,0.19352732843593876,0.7317375939193235
fhl,0.6515321804891384,1.9642857142857142,0.5005952057664229,0.24440822423035818,0.2287629274040527,0.2399678854705776,0.4976585826087621,1.1785714285714286,0.20500773763351582,0.6345322096066635
fhl_0_1,0.6712156470359786,1.9642857142857142,0.5258722529221969,0.2287176898708569,0.21473847153725073,0.2301993327612041,0.4943188889980807,1.1071428571428572,0.20136735604228287,0.6264286900662691
fhl_0_15,0.5288932473747171,1.8214285714285714,0.45011420070492525,0.23127790340396495,0.21437164058733324,0.23674118082655624,0.4936494255809848,1.0357142857142858,0.20364087509902837,0.5795368145244851
fhl_0_2,0.5173804984008402,1.7857142857142858,0.44669107918522527,0.23477352842092533,0.21506083589930797,0.23276800020482888,0.4747500230444444,1.1071428571428572,0.19831506056268752,0.5791773520639336
l,0.5347385219307833,2.9642857142857144,0.2621576237920739,0.22292679494207635,0.2555029142739691,0.23457454112603068,0.4392323729584569,1.1071428571428572,0.1926547123437369,0.6903573391995219
layers_0_1_2_3_alpha_2_5,0.41187983706086795,1.5714285714285714,0.33073414235843135,0.23343617650030316,0.2166049811413421,0.22459451758610208,0.557476042545356,1.25,0.22074914384512326,0.557433712496233
layers_0_1_2_3_alpha_5_0,0.837375373898874,2.25,0.6100764698363207,0.24575235384681166,0.21856162507222607,0.23390543251169366,0.5404101416154786,1.1785714285714286,0.20875037027009452,0.7026003550692144
layers_1_2_alpha_2_5,0.433566985553111,2.3214285714285716,0.2413766028663107,0.23521437595042244,0.24425268074378498,0.23654972323970275,0.617824023293237,1.3214285714285714,0.23802851421264484,0.6544077831907064
layers_1_2_alpha_5_0,0.39136581968671685,1.6428571428571428,0.3022749378552634,0.2506049996359097,0.24161815691755603,0.237129448349342,0.5703975660950804,1.25,0.2212840488826532,0.5675035689199627
none,0.5837830495047511,3.1785714285714284,0.28091106931312126,0.22628397380709112,0.25641996467618394,0.2424385595021791,0.4525555003819569,1.1785714285714286,0.18804380377303986,0.7319531975667978
f,0.48604374245491533,2.3214285714285716,0.23594249747555354,0.10385059730671896,0.13329761391895575,0.10972062497571275,0.49013068640596513,1.1071428571428572,0.20300604355390076,0.5767292482959057
fhl,0.3059859348894453,1.4642857142857142,0.19446300666761826,0.15110234090112776,0.12164684645516718,0.11662756731692478,0.4153280258304039,0.8571428571428571,0.17234880911755743,0.4221034558452017
fhl_0_1,0.30402311906875396,1.4642857142857142,0.19816520181650216,0.14985515482163334,0.11940424618781022,0.11944335555547152,0.4010855533224902,0.8214285714285714,0.17041505315903369,0.4164562188495535
fhl_0_15,0.3087147245707285,1.4642857142857142,0.19506270291000544,0.1511667456881333,0.12694593068667281,0.12922912674563156,0.3503070498171776,0.75,0.15842267036688937,0.4037927405634391
fhl_0_2,0.32801989972596635,1.6785714285714286,0.21573010672446682,0.14377994789163878,0.12676205779966113,0.13924433585555793,0.363137389453766,0.8214285714285714,0.16421383472005974,0.44232084135234634
l,0.47825743372452445,2.2857142857142856,0.23973824597067006,0.10109949686654286,0.131261025474054,0.10503573272451816,0.5035867278795547,1.1428571428571428,0.2051068838900352,0.5769618861223698
layers_0_1_2_3_4_5_6_7_alpha_2_5,0.7275168625689519,2.1785714285714284,0.5682407243596824,0.2132605775510408,0.16100339816100234,0.1589977780038388,0.48232078014918006,0.9642857142857143,0.20026410772541223,0.6282734857084724
layers_0_1_2_3_4_5_6_7_alpha_5_0,1.2013013623036506,3.357142857142857,0.8963510722137287,0.24988240212174365,0.19494177423128184,0.22439723903933867,0.6239540697265664,1.3571428571428572,0.2253236662551552,0.925604144464131
layers_4_5_6_alpha_2_5,0.39606010671583364,1.9642857142857142,0.22990926516515983,0.13432871408835517,0.13057259990714443,0.12145462223968082,0.5392942469656202,1.2142857142857142,0.19166844978260128,0.5468732703817581
layers_4_5_6_alpha_5_0,0.533591443293241,2.0,0.4235363743125259,0.1829095333147965,0.13541789651871275,0.14507861002499434,0.5599060024194092,1.2142857142857142,0.21378553651050372,0.6009456789644331
none,0.49177144502989456,2.392857142857143,0.23850439550468489,0.1002972721023195,0.13045355963057376,0.10664980260531502,0.5035867278795547,1.1428571428571428,0.2051068838900352,0.5902315969285181
