Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,CBS
Ground Truth,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.22751552513966342
Target,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.23385868464511145
f,1.6157159405210255,6.964285714285714,0.7152497985566394,0.6890217730300687,0.28744580966944205,1.5110256321433913,0.47665353506918046,2.4285714285714284,0.12264460569158839
fhl,0.6865376809370274,2.9642857142857144,0.424053508273944,0.6757746917208849,0.312575781449509,1.5194526059738567,0.28334230723896525,1.8928571428571428,0.050670794633642935
fhl_0_1,0.6347872905736176,2.75,0.3894774315635824,0.6906046408824517,0.326600237316311,1.509684053264483,0.1974297771529149,1.5357142857142858,0.03686176224875915
fhl_0_15,0.7947346748731429,3.1785714285714284,0.48797341253688586,0.6827381744624456,0.32776071905987925,1.5184496050881526,0.3045038245055928,1.8214285714285714,0.05475874560350456
fhl_0_2,0.855743320630651,3.4285714285714284,0.521637148922701,0.6818399520428878,0.3270715237479046,1.5144764244664255,0.3716207453409253,2.107142857142857,0.06253554053200229
l,1.5729133769676316,6.607142857142857,0.7148377938743321,0.6866730510465319,0.2877329100149141,1.5162829653876275,0.5083462195198366,2.4642857142857144,0.1205372759662897
layers_0_1_2_3_alpha_2_5,0.8813584025344133,3.857142857142857,0.5813961260986861,0.6810341433852399,0.318580343682647,1.511126169308573,0.23813091105559805,1.75,0.03788883974642489
layers_0_1_2_3_alpha_5_0,0.38798801303656977,2.1785714285714284,0.2895092239284703,0.677892858338448,0.3121846296966135,1.5186980328924615,0.12133529690248959,1.4642857142857142,0.01657329598506069
layers_1_2_alpha_2_5,1.4036403297585138,5.821428571428571,0.7921773655889683,0.675750183541889,0.28611227963602825,1.5197796797929413,0.32313066540666696,1.9642857142857142,0.06622756806765422
layers_1_2_alpha_5_0,1.0584659352259151,4.071428571428571,0.682778249634479,0.6644711980373198,0.28760974607519973,1.5200865699337929,0.28486819989395024,1.8214285714285714,0.05343676753691561
none,1.5822683886595514,6.678571428571429,0.7449336364115904,0.6811722326884802,0.2868158596126992,1.524146983763776,0.5491520831840923,2.607142857142857,0.12378919222740237
Ground Truth,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.22751552513966342
Target,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.23385868464511145
f,1.5708769506795224,6.178571428571429,0.8170582290435168,0.8179979898643853,0.4165430381998223,1.3655314701843595,0.22345718461400385,1.5357142857142858,0.04299719887955182
fhl,1.2318443477243544,4.607142857142857,0.7622290186546985,0.7724249958838482,0.4395464068766684,1.3835921091217516,0.3730867282246471,1.7142857142857142,0.09655008696602449
fhl_0_1,1.2398889256548686,4.678571428571429,0.7657798357664723,0.7736721819633425,0.440752901212291,1.3809179140140224,0.3905611773258545,1.75,0.10182553047676211
fhl_0_15,1.2891977699389563,5.035714285714286,0.7814123208807696,0.7843602085818053,0.438870086868344,1.3873841078051679,0.4337708711797677,1.8928571428571428,0.11206530875299983
fhl_0_2,1.2595433449716846,4.964285714285714,0.7814564069979884,0.7917470063782998,0.44362212783595345,1.3915574411364324,0.39431832408937517,1.8214285714285714,0.10471120038164246
l,1.563090641949131,6.142857142857143,0.814649843758757,0.8207490903045614,0.4195716901367876,1.360170922906568,0.21000114314041426,1.5,0.04089635854341737
layers_0_1_2_3_4_5_6_7_alpha_2_5,0.5649023012261019,2.607142857142857,0.33200378125472946,0.7189978918638626,0.3922430652884799,1.4366424324219562,0.2874626905366755,1.8214285714285714,0.05377905548184186
layers_0_1_2_3_4_5_6_7_alpha_5_0,-9.99999499918067e-07,1.0,0.0,0.6799130131059677,0.3480788113041565,1.5038819595426178,-9.99999499918067e-07,1.0,0.0
layers_4_5_6_alpha_2_5,1.4422881737394406,5.535714285714286,0.7443403771608889,0.8011873642160465,0.41967773988054835,1.3629859274456781,0.20602924613432308,1.4285714285714286,0.04822946722548669
layers_4_5_6_alpha_5_0,0.9525874455884925,3.642857142857143,0.5172317160798346,0.742372908755766,0.41218178837984354,1.4069715862379926,0.1782422410085319,1.5714285714285714,0.03270891690009337
none,1.576604653254501,6.25,0.820114778640143,0.8171244744350477,0.4203791559802678,1.3624112491661329,0.21000114314041426,1.5,0.04089635854341737
