Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,CBS
Ground Truth,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.23385868464511145
Target,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.22751552513966342
f,1.2520286273903398,4.75,0.8052939477331763,0.8019203370602919,0.342577940124067,1.416351657009598,0.605515229804063,2.6785714285714284,0.16981001800118004
fhl,1.4112464416725443,5.428571428571429,0.8156974517829249,0.7961254304805593,0.3097294828677627,1.4231527663816321,0.730331425034573,2.9642857142857144,0.20975651737113732
fhl_0_1,1.3751800257673579,5.357142857142857,0.7944040468763433,0.7930197009581194,0.3070091164637467,1.4236565878949783,0.72440831136213,2.7857142857142856,0.19500731122123274
fhl_0_15,1.3576145215678392,5.285714285714286,0.811572167982048,0.8026338491173933,0.31392902562504427,1.4228497338160675,0.6132821999647698,2.5714285714285716,0.18380222486896042
fhl_0_2,1.3525260223722884,5.142857142857143,0.7999066788159953,0.8039768169549558,0.3219380034829851,1.4194593792355459,0.5837637607706834,2.5714285714285716,0.1751015301190424
l,1.2904195364781852,4.964285714285714,0.8252345799723605,0.7995076048082678,0.338754323709828,1.4168392179027636,0.6206103269040477,2.75,0.17005116903687081
layers_0_1_2_3_alpha_2_5,1.5717888188474092,6.964285714285714,0.7172517345943241,0.7868348901479149,0.2666699152216976,1.462308151155297,0.579270218191058,2.6785714285714284,0.13077951798137774
layers_0_1_2_3_alpha_5_0,1.2980341249978593,5.821428571428571,0.6338067839447251,0.6235548234402281,0.1928021570174246,1.5553785999121263,0.8320170481189565,3.0,0.21640609939956187
layers_1_2_alpha_2_5,1.5091091646210109,6.071428571428571,0.7235713955109618,0.8010738842888268,0.3081900916401566,1.4255109237712984,0.5951316176198022,2.5714285714285716,0.12747491084110166
layers_1_2_alpha_5_0,1.3829011275316077,5.964285714285714,0.7137524244055381,0.7327745870972132,0.2536817459960638,1.4825630320527061,0.7171616999395882,3.0,0.18235944412323163
none,1.265541888480799,4.821428571428571,0.8069431383456042,0.802746547185829,0.33728420490913996,1.4207917254800324,0.5736538102318385,2.642857142857143,0.16975547871159166
Ground Truth,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.23385868464511145
Target,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.22751552513966342
f,1.3816513428947452,5.25,0.9025126890426344,0.9010277261415361,0.4901809515995513,1.3049956597535162,0.5522478137557073,2.3214285714285716,0.22188478368996306
fhl,1.800085851532773,7.821428571428571,0.875951737320088,0.9129022764197909,0.4567938945550621,1.3085657445723713,0.592369972225949,2.4642857142857144,0.29098665455932066
fhl_0_1,1.7717264856886745,7.607142857142857,0.8708865731679655,0.9142168320780623,0.45946638619321023,1.308060787281953,0.6213935078449947,2.5357142857142856,0.2642338249870014
fhl_0_15,1.7502311658291294,7.464285714285714,0.8838389181372378,0.9190204273786661,0.453972623546687,1.3094027931196905,0.6342864166153309,2.5714285714285716,0.2699568576327362
fhl_0_2,1.6777966076222586,7.178571428571429,0.8876430288216827,0.9200557004535224,0.4812514391665905,1.2936885338260382,0.5146848397428843,2.25,0.261582002127369
l,1.3890739114381936,5.285714285714286,0.8897569087879987,0.9030263131869737,0.49143753626983483,1.304388438459925,0.5598577411170323,2.357142857142857,0.2299192095815318
layers_0_1_2_3_4_5_6_7_alpha_2_5,1.8298598243054094,8.214285714285714,0.8292858533935189,0.8076788765576405,0.3123828443765551,1.425680505928555,0.7463796855696908,2.9642857142857144,0.22691724389711268
layers_0_1_2_3_4_5_6_7_alpha_5_0,0.7124291150308465,3.5357142857142856,0.37794857105879676,0.5648029783031043,0.07133949864257635,1.6286244574472903,0.5959394710705628,2.607142857142857,0.261759445113093
layers_4_5_6_alpha_2_5,1.44121990179792,5.642857142857143,0.8690475241601374,0.9096323700845087,0.4855590636879998,1.3076528232367244,0.5041896925783197,2.0,0.22499712213561113
layers_4_5_6_alpha_5_0,1.6750328738260964,7.071428571428571,0.849683713387478,0.855248937226717,0.39146450053226617,1.3737990560645046,0.6708408571707036,2.642857142857143,0.25919905729640186
none,1.395016830804438,5.321428571428571,0.8975549524027412,0.9020059050237085,0.49016202606575326,1.3050577042856233,0.5758019357426213,2.4642857142857144,0.22508090059575733
