Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,HRHE_o,HRC_o,CBS
Source,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.4972609627945554,2.0,0.23385868464511145
Target,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.49217932906990597,2.107142857142857,0.22751552513966342
f,2.3790227628749134,16.214285714285715,0.9033192746031214,0.7582720806431364,0.2340241039157617,1.4701984159898986,0.3172667285770902,2.6785714285714284,1.2287354236661445,3.5,0.6649851898908087
fh,2.435523099374087,17.321428571428573,0.9136475165835574,0.7415552920188441,0.22141566754149747,1.4902090195249293,0.3329334267101549,2.5714285714285716,1.228328339552798,3.5,0.662576635645446
fhl,2.149648895745222,13.107142857142858,0.8649569455763088,0.7496488492267398,0.29364604200534467,1.4451301808858652,0.8620756584420645,3.357142857142857,1.134186051800379,3.5,0.5264049837077492
hl,1.4074955746784146,6.142857142857143,0.8008718330414154,0.7849685897693872,0.34378877533020863,1.421043863341933,0.8780058940428843,3.107142857142857,0.7101450266637002,2.9642857142857144,0.2677513378352563
l,1.360956225481045,5.678571428571429,0.8377509927598864,0.7917703226979579,0.3438201974464286,1.4228544298493857,0.8813341113751668,3.142857142857143,0.674336888250456,2.9285714285714284,0.2504517579233925
none,1.3822805872311748,5.892857142857143,0.7941866922196023,0.7860153198989145,0.3312784000723851,1.4285953274944785,0.8347369269583625,3.0,0.6789870262530282,3.0,0.24913845022769565
Source,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.4972609627945554,2.0,0.23385868464511145
Target,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.49217932906990597,2.107142857142857,0.22751552513966342
f,2.817325184561109,24.107142857142858,0.8935214728322697,0.7261154742551502,0.28845985848874633,1.4753267002482973,0.3133498853985004,2.5714285714285716,1.2274695202845922,3.5,0.6593739142333549
fh,2.7810801323634324,23.464285714285715,0.8837324910905634,0.7164107380317901,0.24359965318986382,1.5095139496040224,0.30933413167026197,2.642857142857143,1.2272800011498703,3.5,0.6584650676549314
fhl,2.099640471814268,10.071428571428571,0.8145016074485932,0.8887030224142319,0.3865292283619723,1.3478444868102195,0.6551650753366822,2.607142857142857,0.6756812161056247,2.8214285714285716,0.3293121813233219
hl,1.5358829866000405,6.642857142857143,0.8047493939572157,0.891200819511711,0.43950578732448087,1.331362135505897,0.6324276164990944,2.5714285714285716,0.6119421695579751,2.4285714285714284,0.30856621513593696
