Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,CBS,avg
fhl,0.4412999232237367,1.7555555555555555,0.31908847700962323,0.2792029648695848,0.24259261239500018,0.2533722658296072,0.3726602254966516,0.9333333333333333,0.17099603900075447,0.5297890440793164
l,0.734440674148958,4.355555555555555,0.2729393700855587,0.23856479351145615,0.2526547027211758,0.23470254997953216,0.34181338184939475,1.0666666666666667,0.1365454370753659,0.8482092368437404
layers_0_1_2_3_alpha_2_5,0.49318526336757956,1.6444444444444444,0.35526971687791,0.2806921581311414,0.2385149705662408,0.25153192836546845,0.5492895703650154,1.1555555555555554,0.21260403302600966,0.5756764045221517
layers_0_1_2_3_alpha_5_0,0.8105713476075808,2.3777777777777778,0.5844095254634738,0.321207376036095,0.26125503947033485,0.27700481850716263,0.5804934068626607,1.1777777777777778,0.21384447606312793,0.73381572728511
layers_1_2_alpha_2_5,0.4958406092616267,2.3333333333333335,0.24431137583417156,0.2822903935205841,0.26186097721267315,0.26164699943014313,0.545949758548604,1.2666666666666666,0.21234426653321495,0.6560271533712242
layers_1_2_alpha_5_0,0.4729646376101837,1.6,0.36930721134547534,0.30883048149212866,0.27259737350655794,0.26671285808244477,0.551632318027108,1.0444444444444445,0.2131993418566126,0.5666320740405506
fhl,0.4385876109657004,2.577777777777778,0.2434629023649478,0.2260889650905409,0.18729186488265973,0.17516680695312398,0.4091632162523391,1.0888888888888888,0.1708306387753948,0.6130287413279304
l,0.587757405107938,3.066666666666667,0.36093763970378645,0.21641361269785822,0.20158313426870628,0.1803331619423746,0.3639755638797503,0.9333333333333333,0.1636968947506504,0.6749663791501183
layers_0_1_2_3_4_5_6_7_alpha_2_5,0.8776657413365008,2.466666666666667,0.6900542745018985,0.2658585028042014,0.1957451727581871,0.21434261206211275,0.454596940039661,0.9555555555555556,0.1959731922839157,0.7018287397787444
layers_0_1_2_3_4_5_6_7_alpha_5_0,1.128442148492735,3.066666666666667,0.8698306330640638,0.2982581222521027,0.23708698035737857,0.24776303662479648,0.6674034046646188,1.4,0.2358339932870868,0.905698331712161
layers_4_5_6_alpha_2_5,0.4750168190462346,2.2444444444444445,0.27289978911662666,0.1381975211688753,0.13892603877748888,0.11410242618288093,0.5390032396282564,1.1111111111111112,0.2101370001289802,0.5826487099560999
layers_4_5_6_alpha_5_0,0.5277844421384296,1.6444444444444444,0.4559415647640802,0.2209878540300767,0.1787174562003776,0.17729583711001243,0.4882262313918784,1.0222222222222221,0.1929087163028292,0.5453920854004833
