Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,CBS,avg
f,1.017879603823081,7.285714285714286,0.2890895714185428,0.12566614894967293,0.11859403582304211,0.12374942860587956,0.3955713999001201,0.9642857142857143,0.2168146578371097,1.170818316261939
fhl,1.0385896459406225,7.607142857142857,0.2625542900156077,0.1355894333248729,0.12060488253415867,0.126262823768392,0.3765414262931245,1.0357142857142858,0.19876553822800877,1.2113072425513256
fhl_0_1,1.0188523326952892,7.25,0.2569557416950786,0.13410380658227378,0.11581123771847786,0.11954362114286775,0.40093220594401735,0.9285714285714286,0.20031819645220522,1.1583431745335153
fhl_0_15,1.0395733024731333,7.464285714285714,0.25475279409598056,0.12899777018516836,0.11417252954240394,0.12041562182692582,0.3646478867262507,0.9285714285714286,0.18966539189445683,1.1783424932890514
fhl_0_2,1.0353517958709222,7.357142857142857,0.2606750759854972,0.12983749353559224,0.12067960377244699,0.11926398741237369,0.36079174352281357,0.9285714285714286,0.19890108817681387,1.167912785998972
l,1.0111809066009783,7.392857142857143,0.27518075311852025,0.1277002632011705,0.11862740883095409,0.12663339288140887,0.4099748163747123,1.0,0.22165772838230316,1.1870902680274655
layers_0_1_2_3_alpha_2_5,1.104279083058614,7.321428571428571,0.38244233654413146,0.139563500904553,0.14251736512941235,0.13171887057658546,0.46751970208669824,1.3214285714285714,0.21272768408857795,1.2470695205828575
layers_0_1_2_3_alpha_5_0,1.3044188767305225,7.964285714285714,0.40355136655928525,0.20134726579904433,0.2006945082674583,0.17979711166921963,0.47741634435058883,1.1785714285714286,0.2070601649867688,1.3463491979133368
layers_1_2_alpha_2_5,0.942814415374696,6.785714285714286,0.28716266563231096,0.11597172766942945,0.11949738504938157,0.1257855038734482,0.5098449528327638,1.2857142857142858,0.23201234122504172,1.1560575070095158
layers_1_2_alpha_5_0,1.192182913584807,7.428571428571429,0.42627660743912527,0.1588475919241307,0.15200392554874337,0.13909553998682128,0.42312119696808476,1.1428571428571428,0.2075351309455821,1.2522768308695404
f,0.916872344609604,6.857142857142857,0.28369243505074,0.12265658889361716,0.10787970676989843,0.11290247835918565,0.41990057130260355,1.2142857142857142,0.20466994268202243,1.1377780710106935
fhl,0.6896671230552689,5.25,0.25908181668553126,0.14135110987631813,0.11780574388604939,0.11485573305875162,0.4037945395828615,1.2142857142857142,0.2789857210474134,0.9410919446086565
fhl_0_1,0.7068076364794205,5.75,0.24439523505853966,0.14973594649265914,0.10031763401352342,0.10904966775820076,0.4246934212332733,1.25,0.28177025474326056,1.0018633106420975
fhl_0_15,0.643227734157465,5.214285714285714,0.20827942058092577,0.14386089699278168,0.12029906667147368,0.11456654401301195,0.4371923258124371,1.25,0.2625524885475707,0.9326960212290422
fhl_0_2,0.6634601927628193,5.285714285714286,0.22166324485042826,0.12979312987534988,0.10972352796393248,0.11676767324704836,0.4134495817607314,1.1428571428571428,0.27695805334035084,0.9289318702635655
l,0.9133253139399372,6.714285714285714,0.25569480121464444,0.11273028463548153,0.10019722790876877,0.10798158360494313,0.4500647169824318,1.25,0.21984659454112984,1.1249029152347834
layers_0_1_2_3_4_5_6_7_alpha_2_5,1.1252179947306384,7.035714285714286,0.3631044197869908,0.12706748420098335,0.13008961571917158,0.12446160209617071,0.4882563295520363,1.1785714285714286,0.2352910229870682,1.200863798150975
layers_0_1_2_3_4_5_6_7_alpha_5_0,1.8461956569647597,9.571428571428571,0.6458528302498684,0.2331105271050566,0.2138847188612826,0.20345298494961722,0.5506325157910366,1.3928571428571428,0.2944082855979575,1.6613136926450325
layers_4_5_6_alpha_2_5,1.0321986109189174,7.321428571428571,0.29730724582128115,0.08675360914380455,0.16119436862309006,0.1113114344830134,0.3776027170632013,0.8571428571428571,0.24143680039558493,1.1651529127800355
layers_4_5_6_alpha_5_0,0.9653305600237682,6.892857142857143,0.2835315311375993,0.10098946184018945,0.1251302385032584,0.0958380090188068,0.48269077520778925,1.25,0.20497561132859649,1.155704814435239
