Instance,CHE,CC,CTD,CTnCTR,PCS,MCTD,HRHE_i,HRC_i,CBS
Ground Truth,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.23385868464511145
Target,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.22751552513966342
fhl,1.2594968492241745,4.892857142857143,0.7755770272425694,0.7742161669737035,0.3434333422384583,1.4389356590931415,0.4599375943963634,2.2857142857142856,0.11158314268154086
l,1.2747783368298282,4.857142857142857,0.8038515670261573,0.7800020476337899,0.34961936271271216,1.4303922812508676,0.4801750675521479,2.357142857142857,0.11576168246961278
layers_0_1_2_3_alpha_2_5,1.2213062971149413,5.178571428571429,0.5772434506821152,0.7386792981471819,0.2534356644308046,1.4860312574354917,0.5182947679691746,2.5714285714285716,0.10562914260667276
layers_0_1_2_3_alpha_5_0,0.8915049747591339,3.9642857142857144,0.4477738192501749,0.6901056019691724,0.18713317233973079,1.5326041355341558,0.6159581032073743,2.5714285714285716,0.1542418810950264
layers_1_2_alpha_2_5,1.4175866499144687,5.928571428571429,0.6744770711361604,0.7914450678718128,0.27332795742388805,1.468729176918983,0.5026831623636336,2.5357142857142856,0.1069603025547875
layers_1_2_alpha_5_0,1.0109741294143793,4.5,0.5050853640167261,0.7362565696830526,0.23018620072544532,1.4989047709709584,0.4594610555974214,2.4642857142857144,0.10138927154616353
Ground Truth,1.1598092965823326,4.133333333333334,0.8900991477032875,0.9047157279459109,0.5168205079293183,1.294532569997022,0.6575186609423677,2.3555555555555556,0.23385868464511145
Target,2.171755963391433,11.571428571428571,0.8042645975005029,0.8581311892264216,0.3338033695098851,1.3713189325014312,0.5452796017636833,2.1785714285714284,0.22751552513966342
fhl,1.9237064938785529,9.785714285714286,0.9162842169824535,0.7935894699696651,0.39636565497802584,1.3971365024327882,0.9295213193452491,3.142857142857143,0.35947621774695504
l,1.3849236616449676,5.857142857142857,0.72585420092276,0.8071868860391717,0.34644683473027704,1.422502656369247,0.7511072644396245,2.892857142857143,0.2733885249158294
layers_0_1_2_3_4_5_6_7_alpha_2_5,1.2162847978070073,5.464285714285714,0.5730256239763224,0.7754518934857989,0.2616006592772393,1.4688243249640052,0.627073791227831,2.5714285714285716,0.1958036830334926
layers_0_1_2_3_4_5_6_7_alpha_5_0,0.34588019656180863,2.0714285714285716,0.2224747086630605,0.6338063252593351,0.13734248767392948,1.5697585010307775,0.32357681057795584,1.7857142857142858,0.14761677686342506
layers_4_5_6_alpha_2_5,1.3787456472155117,5.464285714285714,0.8487775740897392,0.9064538175395996,0.47227647983664117,1.3289955526361776,0.5445730145352721,2.392857142857143,0.18005932245871487
layers_4_5_6_alpha_5_0,1.3515074472688169,5.464285714285714,0.764110331822339,0.8185923983992198,0.3421765973440455,1.426877743417818,0.71767557871425,2.7857142857142856,0.20842600028855898
